rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
208,9200,Fashion & Retail,Eric Smidt,63,United States,Beverly Hills,Hardware stores,M,,328239523
208,9200,Technology,Azim Premji,77,India,Bangalore,Software services,M,Founder Chairman,1366417754
208,9200,Diversified,Antonia Ax:son Johnson & family,79,Sweden,Stockholm,Diversified,F,,10285453
208,9200,Media & Entertainment,John Malone,82,United States,Elizabeth,Cable television,M,,328239523
208,9200,Finance & Investments,Charles Schwab,85,United States,Woodside,Discount brokerage,M,Investor,328239523
215,9000,Real Estate,Alexander Otto,55,Germany,Hamburg,Real estate,M,,83132799
215,9000,Manufacturing,Wang Liping & family,57,China,Changzhou,Hydraulic machinery,M,,1397715000
215,9000,Metals & Mining,Ivan Glasenberg,66,Switzerland,Ruschlikon,Mining,M,,8574832
215,9000,Technology,David Cheriton,72,United States,Palo Alto,Google,M,Professor,328239523
215,9000,Food & Beverage,Anthony von Mandl,73,Canada,Vancouver,Alcoholic beverages,M,,36991981
220,8900,Food & Beverage,Jorn Rausing,63,United Kingdom,Surrey,Packaging,M,,66834405
220,8900,Food & Beverage,Finn Rausing,68,United Kingdom,London,Packaging,M,,66834405
220,8900,Food & Beverage,Kirsten Rausing,70,United Kingdom,Newmarket,Packaging,F,,66834405
223,8800,Technology,Dustin Moskovitz,38,United States,San Francisco,Facebook,M,Cofounder,328239523
223,8800,Fashion & Retail,Tatyana Bakalchuk,47,Russia,Moscow region,Ecommerce,F,,144373535
223,8800,Technology,Richard Liu,49,China,Beijing,E-commerce,M,,1397715000
223,8800,Technology,Pierre Omidyar,55,United States,Honolulu,"EBay, PayPal",M,Founder,328239523
223,8800,Energy,Pei Zhenhua,64,China,Ningde,Batteries,M,,1397715000
223,8800,Technology,John Doerr,71,United States,Woodside,Venture capital,M,Investor,328239523
223,8800,Energy,Carrie Perrodo & family,72,United Kingdom,London,Oil,F,Philanthropist,66834405
230,8700,Manufacturing,Chen Jianhua,52,China,Wujiang,Chemicals,M,,1397715000
230,8700,Fashion & Retail,Michael Otto,79,Germany,Hamburg,"Retail, real estate",M,,83132799
232,8600,Finance & Investments,Graeme Hart,67,New Zealand,Auckland,Investments,M,,4841000
232,8600,Technology,Andreas von Bechtolsheim & family,67,United States,Palo Alto,Google,M,"Cofounder, Chief Development Officer and Chairman",328239523
232,8600,Food & Beverage,Ravi Jaipuria,68,India,Delhi,"Soft drinks, fast food",M,,1366417754
232,8600,Finance & Investments,Leon Black,71,United States,New York,Private equity,M,,328239523
232,8600,Real Estate,Manuel Villar,73,Philippines,Manila,Real estate,M,,108116615
232,8600,Food & Beverage,Carlos Alberto Sicupira & family,75,Switzerland,St. Gallen,Beer,M,,8574832
232,8600,Technology,Hasso Plattner & family,79,Germany,Heidelberg,Software,M,,83132799
239,8500,Finance & Investments,"Chase Coleman, III.",47,United States,New York,Investments,M,Investor,328239523
239,8500,Manufacturing,Li Zhenguo & family,55,China,Xi'an,Solar wafers and modules,M,,1397715000
239,8500,Fashion & Retail,Ann Walton Kroenke,74,United States,Electra,Walmart,F,,328239523
242,8400,Media & Entertainment,Blair Parry-Okeden,72,Australia,New South Wales,"Media, automotive",F,,25766605
242,8400,Media & Entertainment,Jim Kennedy,75,United States,Atlanta,"Media, automotive",M,Chairman Emeritus,328239523
242,8400,Metals & Mining,Nicky Oppenheimer & family,77,South Africa,Johannesburg,Diamonds,M,,58558270
242,8400,Metals & Mining,Zheng Shuliang & family,77,China,Binzhou,Aluminum products,F,,1397715000
246,8300,Fashion & Retail,John Morris,75,United States,Springfield,Sporting goods retail,M,,328239523
246,8300,Fashion & Retail,Stefano Pessina,81,Monaco,Monte Carlo,Drugstores,M,,38964
246,8300,Finance & Investments,Francine von Finck & family,,Switzerland,Thurgau,Investments,F,,8574832
249,8200,Real Estate,Yang Huiyan & family,41,China,Foshan,Real estate,F,,1397715000
249,8200,Energy,German Khan,61,Russia,Moscow,"Oil, banking, telecom",M,,144373535
249,8200,Diversified,Abdulsamad Rabiu,62,Nigeria,Lagos,"Cement, sugar",M,,200963599
249,8200,Real Estate,Wang Jianlin,68,China,Beijing,Real estate,M,Chairman,1397715000
249,8200,Real Estate,Francis Choi,75,Hong Kong,Hong Kong,Real estate,M,,
249,8200,Finance & Investments,George Roberts,79,United States,Atherton,Private equity,M,,328239523
249,8200,Real Estate,Kushal Pal Singh,91,India,Delhi,Real estate,M,,1366417754
256,8100,Gambling & Casinos,Karel Komarek,54,Switzerland,Verbier,"Oil and gas, IT, lotteries",M,,8574832
256,8100,Diversified,Marie-Hélène Habert-Dassault,58,France,Paris,Diversified,F,,67059887
256,8100,Food & Beverage,Tilman Fertitta,65,United States,Houston,"Houston Rockets, entertainment",M,Chairman and CEO,328239523
256,8100,Diversified,Thierry Dassault,66,France,Paris,Diversified,M,,67059887
256,8100,Diversified,Laurent Dassault,69,France,Paris,Diversified,M,,67059887
261,8000,Technology,Nathan Blecharczyk,39,United States,San Francisco,Airbnb,M,,328239523
261,8000,Metals & Mining,Pavel Tykac,58,Czech Republic,Prague,Coal mines,M,,10669709
261,8000,Finance & Investments,Robert F. Smith,60,United States,Austin,Private equity,M,Investor,328239523
261,8000,Energy,Leonid Fedun,66,Russia,Moscow,Oil,M,,144373535
261,8000,Finance & Investments,Eric Wittouck,76,Monaco,,Investments,M,,38964
261,8000,Finance & Investments,Patrick Ryan,85,United States,Winnetka,Insurance,M,Chairman and CEO,328239523
261,8000,Fashion & Retail,Bernard Marcus,93,United States,Atlanta,Home Depot,M,"Co-founder, ex chairman of the board",328239523
268,7900,Diversified,Georg Stumpf,50,Austria,Vienna,"Real estate, construction",M,,8877067
268,7900,Finance & Investments,Orlando Bravo,52,United States,Miami Beach,Private equity,M,,328239523
268,7900,Fashion & Retail,Ding Shizhong,52,China,Quanzhou,Sports apparel,M,,1397715000
268,7900,Technology,Jay Y. Lee,54,South Korea,Seoul,Samsung,M,,51709098
268,7900,Finance & Investments,Ramzi Musallam,54,United States,New York,Private equity,M,,328239523
268,7900,Metals & Mining,Andrei Skoch & family,57,Russia,Moscow,Metals and mining,M,,144373535
268,7900,Fashion & Retail,Nancy Walton Laurie,71,United States,Henderson,Walmart,F,,328239523
268,7900,Finance & Investments,David Shaw,72,United States,New York,Hedge funds,M,Founder,328239523
276,7800,Technology,Qi Shi & family,53,China,Shanghai,Financial information,M,,1397715000
276,7800,Manufacturing,Yao Liangsong,58,China,Guangzhou,Furniture,M,,1397715000
276,7800,Manufacturing,Li Shuirong & family,66,China,Hangzhou,Petrochemicals,M,,1397715000
276,7800,Telecom,Rocco Commisso,73,United States,Saddle River,Telecom,M,,328239523
